priority_rank,customer_id,churn_probability,risk_level,uplift,persuadability_segment,customer_value_eur,recommended_offer,offer_cost,expected_value_saved,roi,selection_status
23,C01585,0.00789,Low,0.01926,LOW RESPONSE,1547.67,Priority Support,1350.0,2682.9,1.99,SELECTED
24,C08534,0.00282,Low,0.01533,LOW RESPONSE,1942.91,Priority Support,1350.0,2680.2,1.99,SELECTED
25,C03115,0.04548,Low,0.011,HIGHLY PERSUADABLE,1810.75,Loyalty Reward,900.0,1792.8,1.99,SELECTED
26,C03066,0.02799,Low,0.01293,LOW RESPONSE,1538.69,Loyalty Reward,900.0,1791.0,1.99,SELECTED
27,C11390,0.02064,Low,0.02037,HIGHLY PERSUADABLE,1947.48,Small Discount,1800.0,3570.3,1.98,SELECTED
28,C01389,0.00263,Low,0.01967,LOW RESPONSE,2016.26,Small Discount,1800.0,3569.4,1.98,SELECTED
29,C09492,0.02228,Low,0.01663,LOW RESPONSE,1193.59,Loyalty Reward,900.0,1786.5,1.98,SELECTED
30,C09297,0.01059,Low,0.0122,LOW RESPONSE,1621.58,Loyalty Reward,900.0,1780.2,1.98,SELECTED
31,C03265,0.00451,Low,0.02285,HIGHLY PERSUADABLE,1726.06,Small Discount,1800.0,3549.6,1.97,SELECTED
32,C11110,0.02834,Low,0.02472,HIGHLY PERSUADABLE,1592.13,Small Discount,1800.0,3542.4,1.97,SELECTED
33,C04668,0.00435,Low,0.00988,LOW RESPONSE,1993.22,Loyalty Reward,900.0,1772.1,1.97,SELECTED
34,C11722,0.01907,Low,0.01098,LOW RESPONSE,1792.05,Loyalty Reward,900.0,1771.2,1.97,SELECTED
35,C03393,0.0063,Low,0.01695,LOW RESPONSE,1737.66,Priority Support,1350.0,2650.5,1.96,SELECTED
36,C09255,0.00369,Low,0.01416,LOW RESPONSE,1387.67,Loyalty Reward,900.0,1768.5,1.96,SELECTED
37,C11366,0.03401,Low,0.01135,HIGHLY PERSUADABLE,1730.74,Loyalty Reward,900.0,1767.6,1.96,SELECTED
38,C09187,0.01426,Low,0.01109,LOW RESPONSE,1769.74,Loyalty Reward,900.0,1766.7,1.96,SELECTED
39,C11337,0.07206,Low,0.01156,HIGHLY PERSUADABLE,1695.76,Loyalty Reward,900.0,1764.0,1.96,SELECTED
40,C02485,0.03586,Low,0.01456,HIGHLY PERSUADABLE,1345.55,Loyalty Reward,900.0,1763.1,1.96,SELECTED
41,C11288,0.03349,Low,0.03056,HIGHLY PERSUADABLE,1913.31,Free Premium Trial,2700.0,5262.3,1.95,SELECTED
42,C03096,0.00085,Low,0.017,LOW RESPONSE,1721.36,Priority Support,1350.0,2633.4,1.95,SELECTED
43,C00580,0.02425,Low,0.01915,LOW RESPONSE,1525.45,Priority Support,1350.0,2628.9,1.95,SELECTED
44,C10889,0.01536,Low,0.01059,LOW RESPONSE,1844.44,Loyalty Reward,900.0,1757.7,1.95,SELECTED
45,C11343,0.02177,Low,0.01048,LOW RESPONSE,1861.22,Loyalty Reward,900.0,1755.9,1.95,SELECTED
46,C05525,0.00634,Low,0.01043,LOW RESPONSE,1867.35,Loyalty Reward,900.0,1753.2,1.95,SELECTED
47,C10225,0.00491,Low,0.01135,LOW RESPONSE,1714.61,Loyalty Reward,900.0,1751.4,1.95,SELECTED
48,C11257,0.00659,Low,0.0297,HIGHLY PERSUADABLE,1955.65,Free Premium Trial,2700.0,5227.2,1.94,SELECTED
49,C11616,0.05669,Low,0.01462,HIGHLY PERSUADABLE,1995.49,Priority Support,1350.0,2625.3,1.94,SELECTED
50,C02819,0.03295,Low,0.01492,LOW RESPONSE,1946.38,Priority Support,1350.0,2613.6,1.94,SELECTED
51,C11175,0.04308,Low,0.01234,HIGHLY PERSUADABLE,1572.72,Loyalty Reward,900.0,1746.9,1.94,SELECTED
52,C11492,0.0156,Low,0.00991,LOW RESPONSE,1959.04,Loyalty Reward,900.0,1746.9,1.94,SELECTED
53,C11687,0.05663,Low,0.01509,HIGHLY PERSUADABLE,1918.6,Priority Support,1350.0,2605.5,1.93,SELECTED
54,C09915,0.00456,Low,0.01137,LOW RESPONSE,1698.96,Loyalty Reward,900.0,1738.8,1.93,SELECTED
55,C10685,0.01002,Low,0.01156,LOW RESPONSE,1671.45,Loyalty Reward,900.0,1738.8,1.93,SELECTED
56,C02866,0.01436,Low,0.01229,LOW RESPONSE,1571.56,Loyalty Reward,900.0,1737.9,1.93,SELECTED
57,C03197,0.07363,Low,0.01063,HIGHLY PERSUADABLE,1816.95,Loyalty Reward,900.0,1737.9,1.93,SELECTED
58,C03230,0.03467,Low,0.01088,HIGHLY PERSUADABLE,1774.66,Loyalty Reward,900.0,1737.9,1.93,SELECTED
59,C11218,0.05871,Low,0.011,HIGHLY PERSUADABLE,1751.61,Loyalty Reward,900.0,1734.3,1.93,SELECTED
60,C05952,0.00184,Low,0.0116,HIGHLY PERSUADABLE,1657.44,Loyalty Reward,900.0,1730.7,1.92,SELECTED
61,C10902,0.00824,Low,0.00978,LOW RESPONSE,1960.73,Loyalty Reward,900.0,1726.2,1.92,NOT SELECTED
62,C07061,0.00089,Low,0.01205,LOW RESPONSE,1590.54,Loyalty Reward,900.0,1725.3,1.92,NOT SELECTED
63,C10569,0.0377,Low,0.0154,HIGHLY PERSUADABLE,1864.96,Priority Support,1350.0,2584.8,1.91,NOT SELECTED
64,C08093,0.01251,Low,0.01479,LOW RESPONSE,1940.9,Priority Support,1350.0,2583.9,1.91,NOT SELECTED
65,C02135,0.03067,Low,0.01493,LOW RESPONSE,1914.74,Priority Support,1350.0,2573.1,1.91,NOT SELECTED
66,C11766,0.00341,Low,0.00966,LOW RESPONSE,1981.39,Loyalty Reward,900.0,1722.6,1.91,NOT SELECTED
67,C11121,0.00494,Low,0.02768,HIGHLY PERSUADABLE,2056.05,Free Premium Trial,2700.0,5121.9,1.9,NOT SELECTED
68,C01037,0.00391,Low,0.03243,HIGHLY PERSUADABLE,1753.07,Free Premium Trial,2700.0,5116.5,1.9,NOT SELECTED
69,C09414,0.06927,Low,0.0231,HIGHLY PERSUADABLE,1645.07,Small Discount,1800.0,3420.0,1.9,NOT SELECTED
70,C10753,0.02605,Low,0.01471,LOW RESPONSE,1939.34,Priority Support,1350.0,2567.7,1.9,NOT SELECTED
71,C05894,0.02987,Low,0.0117,LOW RESPONSE,1624.7,Loyalty Reward,900.0,1710.9,1.9,NOT SELECTED
72,C08489,0.0078,Low,0.00955,LOW RESPONSE,1990.57,Loyalty Reward,900.0,1710.9,1.9,NOT SELECTED
73,C10640,0.02351,Low,0.01013,LOW RESPONSE,1872.01,Loyalty Reward,900.0,1706.4,1.9,NOT SELECTED
74,C03296,0.0117,Low,0.01128,LOW RESPONSE,1678.77,Loyalty Reward,900.0,1704.6,1.89,NOT SELECTED
75,C11194,0.01232,Low,0.00944,LOW RESPONSE,1997.92,Loyalty Reward,900.0,1697.4,1.89,NOT SELECTED
76,C05635,0.00566,Low,0.01352,LOW RESPONSE,2089.38,Priority Support,1350.0,2542.5,1.88,NOT SELECTED
77,C02303,0.01027,Low,0.01228,LOW RESPONSE,1535.16,Loyalty Reward,900.0,1696.5,1.88,NOT SELECTED
78,C04965,0.01039,Low,0.01079,LOW RESPONSE,1747.2,Loyalty Reward,900.0,1696.5,1.88,NOT SELECTED
79,C09433,0.92385,Critical,0.04476,HIGHLY PERSUADABLE,420.96,Loyalty Reward,900.0,1695.6,1.88,NOT SELECTED
80,C05373,0.02489,Low,0.01528,LOW RESPONSE,1231.7,Loyalty Reward,900.0,1693.8,1.88,NOT SELECTED
81,C08781,0.00296,Low,0.0168,LOW RESPONSE,1118.96,Loyalty Reward,900.0,1692.0,1.88,NOT SELECTED
82,C03424,0.01204,Low,0.01007,LOW RESPONSE,1856.44,Loyalty Reward,900.0,1682.1,1.87,NOT SELECTED
83,C02681,0.01576,Low,0.01031,LOW RESPONSE,1812.27,Loyalty Reward,900.0,1681.2,1.87,NOT SELECTED
84,C02926,0.11518,Low,0.02011,HIGHLY PERSUADABLE,1385.81,Priority Support,1350.0,2508.3,1.86,NOT SELECTED
85,C10215,0.00618,Low,0.01011,LOW RESPONSE,1842.68,Loyalty Reward,900.0,1676.7,1.86,NOT SELECTED
86,C03337,0.01627,Low,0.00977,LOW RESPONSE,1902.26,Loyalty Reward,900.0,1673.1,1.86,NOT SELECTED
87,C11476,0.13369,Low,0.02173,HIGHLY PERSUADABLE,1703.46,Small Discount,1800.0,3331.8,1.85,NOT SELECTED
88,C01856,0.01107,Low,0.01021,LOW RESPONSE,1815.66,Loyalty Reward,900.0,1668.6,1.85,NOT SELECTED
89,C03103,0.01002,Low,0.0117,LOW RESPONSE,1583.56,Loyalty Reward,900.0,1667.7,1.85,NOT SELECTED
90,C10930,0.01457,Low,0.0136,LOW RESPONSE,2034.26,Priority Support,1350.0,2490.3,1.84,NOT SELECTED
91,C09092,0.96597,Critical,0.05,HIGHLY PERSUADABLE,551.87,Priority Support,1350.0,2483.1,1.84,NOT SELECTED
92,C11776,0.01819,Low,0.01587,LOW RESPONSE,1738.71,Priority Support,1350.0,2483.1,1.84,NOT SELECTED
93,C03098,0.00689,Low,0.01318,LOW RESPONSE,1399.67,Loyalty Reward,900.0,1660.5,1.84,NOT SELECTED
94,C09069,0.04608,Low,0.0148,HIGHLY PERSUADABLE,1244.56,Loyalty Reward,900.0,1657.8,1.84,NOT SELECTED
95,C10560,0.10937,Low,0.0122,HIGHLY PERSUADABLE,1510.01,Loyalty Reward,900.0,1657.8,1.84,NOT SELECTED
96,C09496,0.00688,Low,0.00889,LOW RESPONSE,2066.78,Loyalty Reward,900.0,1653.3,1.84,NOT SELECTED
97,C11423,0.08215,Low,0.01016,HIGHLY PERSUADABLE,1807.45,Loyalty Reward,900.0,1652.4,1.84,NOT SELECTED
98,C03012,0.01625,Low,0.01879,LOW RESPONSE,1952.81,Small Discount,1800.0,3302.1,1.83,NOT SELECTED
99,C02636,0.06136,Low,0.02354,HIGHLY PERSUADABLE,1168.46,Priority Support,1350.0,2475.9,1.83,NOT SELECTED
100,C10368,0.02059,Low,0.01377,LOW RESPONSE,1995.44,Priority Support,1350.0,2473.2,1.83,NOT SELECTED
101,C02988,0.01431,Low,0.01505,LOW RESPONSE,1825.11,Priority Support,1350.0,2472.3,1.83,NOT SELECTED
102,C09161,0.0145,Low,0.02114,LOW RESPONSE,1297.23,Priority Support,1350.0,2467.8,1.83,NOT SELECTED
103,C08312,0.01295,Low,0.01388,LOW RESPONSE,1320.76,Loyalty Reward,900.0,1649.7,1.83,NOT SELECTED
104,C03053,0.02944,Low,0.01305,LOW RESPONSE,1402.5,Loyalty Reward,900.0,1647.0,1.83,NOT SELECTED
105,C02952,0.03293,Low,0.00956,LOW RESPONSE,1912.96,Loyalty Reward,900.0,1646.1,1.83,NOT SELECTED
106,C02907,0.01395,Low,0.0103,LOW RESPONSE,1773.86,Loyalty Reward,900.0,1644.3,1.83,NOT SELECTED
107,C05268,0.00909,Low,0.02071,HIGHLY PERSUADABLE,881.78,Loyalty Reward,900.0,1643.4,1.83,NOT SELECTED
108,C02375,0.02303,Low,0.0317,HIGHLY PERSUADABLE,1720.6,Free Premium Trial,2700.0,4908.6,1.82,NOT SELECTED
109,C05637,0.00197,Low,0.01711,LOW RESPONSE,1597.87,Priority Support,1350.0,2460.6,1.82,NOT SELECTED
110,C10990,0.00701,Low,0.00923,LOW RESPONSE,1975.13,Loyalty Reward,900.0,1640.7,1.82,NOT SELECTED
111,C01560,0.01275,Low,0.01017,LOW RESPONSE,1789.83,Loyalty Reward,900.0,1638.0,1.82,NOT SELECTED
112,C03191,0.00678,Low,0.00971,LOW RESPONSE,1871.88,Loyalty Reward,900.0,1636.2,1.82,NOT SELECTED
113,C11357,0.01086,Low,0.01129,LOW RESPONSE,1607.97,Loyalty Reward,900.0,1633.5,1.82,NOT SELECTED
114,C01750,0.00734,Low,0.01936,LOW RESPONSE,1401.26,Priority Support,1350.0,2441.7,1.81,NOT SELECTED
115,C03562,0.00515,Low,0.01419,LOW RESPONSE,1276.47,Loyalty Reward,900.0,1629.9,1.81,NOT SELECTED
116,C10115,0.00788,Low,0.00993,LOW RESPONSE,1821.23,Loyalty Reward,900.0,1627.2,1.81,NOT SELECTED
117,C09813,0.00725,Low,0.00952,LOW RESPONSE,1897.99,Loyalty Reward,900.0,1626.3,1.81,NOT SELECTED
118,C11129,0.07471,Low,0.02097,HIGHLY PERSUADABLE,1718.46,Small Discount,1800.0,3243.6,1.8,NOT SELECTED
119,C10152,0.00525,Low,0.01898,LOW RESPONSE,1896.09,Small Discount,1800.0,3239.1,1.8,NOT SELECTED
120,C03248,0.00322,Low,0.01387,LOW RESPONSE,1946.59,Priority Support,1350.0,2430.0,1.8,NOT SELECTED
121,C09719,0.00297,Low,0.00865,LOW RESPONSE,2086.29,Loyalty Reward,900.0,1624.5,1.8,NOT SELECTED
122,C11824,0.04272,Low,0.00898,HIGHLY PERSUADABLE,2000.62,Loyalty Reward,900.0,1617.3,1.8,NOT SELECTED
123,C06323,0.00203,Low,0.01578,LOW RESPONSE,1135.5,Loyalty Reward,900.0,1612.8,1.79,NOT SELECTED
124,C05813,0.00506,Low,0.0086,LOW RESPONSE,2082.02,Loyalty Reward,900.0,1611.9,1.79,NOT SELECTED
125,C10834,0.03541,Low,0.00915,HIGHLY PERSUADABLE,1954.82,Loyalty Reward,900.0,1610.1,1.79,NOT SELECTED
126,C00433,0.0029,Low,0.01289,LOW RESPONSE,1386.9,Loyalty Reward,900.0,1609.2,1.79,NOT SELECTED
127,C10580,0.00409,Low,0.00947,LOW RESPONSE,1885.71,Loyalty Reward,900.0,1607.4,1.79,NOT SELECTED
128,C10825,0.03284,Low,0.01325,LOW RESPONSE,2019.97,Priority Support,1350.0,2408.4,1.78,NOT SELECTED
129,C00701,0.00688,Low,0.01446,LOW RESPONSE,1228.14,Loyalty Reward,900.0,1598.4,1.78,NOT SELECTED
130,C05328,0.1323,Low,0.00958,HIGHLY PERSUADABLE,1853.48,Loyalty Reward,900.0,1598.4,1.78,NOT SELECTED
131,C09945,0.00375,Low,0.01275,LOW RESPONSE,2078.88,Priority Support,1350.0,2385.9,1.77,NOT SELECTED
132,C00659,0.00359,Low,0.0115,LOW RESPONSE,1541.94,Loyalty Reward,900.0,1595.7,1.77,NOT SELECTED
133,C11262,0.01374,Low,0.01024,LOW RESPONSE,1726.11,Loyalty Reward,900.0,1591.2,1.77,NOT SELECTED
134,C11039,0.06356,Low,0.02229,HIGHLY PERSUADABLE,1582.57,Small Discount,1800.0,3175.2,1.76,NOT SELECTED
135,C03004,0.02051,Low,0.01778,LOW RESPONSE,1983.68,Small Discount,1800.0,3174.3,1.76,NOT SELECTED
136,C02262,0.04024,Low,0.01785,HIGHLY PERSUADABLE,1972.42,Small Discount,1800.0,3168.9,1.76,NOT SELECTED
137,C11314,0.01053,Low,0.01798,LOW RESPONSE,1952.49,Small Discount,1800.0,3159.9,1.76,NOT SELECTED
138,C10238,0.01451,Low,0.01677,LOW RESPONSE,1578.37,Priority Support,1350.0,2382.3,1.76,NOT SELECTED
139,C11245,0.01013,Low,0.00893,LOW RESPONSE,1969.03,Loyalty Reward,900.0,1582.2,1.76,NOT SELECTED
140,C11660,0.00662,Low,0.02676,HIGHLY PERSUADABLE,1958.73,Free Premium Trial,2700.0,4717.8,1.75,NOT SELECTED
141,C08879,0.00497,Low,0.01695,LOW RESPONSE,2062.71,Small Discount,1800.0,3146.4,1.75,NOT SELECTED
142,C01823,0.00369,Low,0.00898,LOW RESPONSE,1952.77,Loyalty Reward,900.0,1578.6,1.75,NOT SELECTED
143,C02443,0.00447,Low,0.01061,LOW RESPONSE,1653.49,Loyalty Reward,900.0,1578.6,1.75,NOT SELECTED
144,C11143,0.02392,Low,0.01001,LOW RESPONSE,1744.52,Loyalty Reward,900.0,1571.4,1.75,NOT SELECTED
145,C11276,0.04001,Low,0.00982,HIGHLY PERSUADABLE,1777.58,Loyalty Reward,900.0,1571.4,1.75,NOT SELECTED
146,C11800,0.01362,Low,0.01289,LOW RESPONSE,2027.35,Priority Support,1350.0,2351.7,1.74,NOT SELECTED
147,C01795,0.00515,Low,0.01602,LOW RESPONSE,1630.01,Priority Support,1350.0,2349.9,1.74,NOT SELECTED
148,C03311,0.00444,Low,0.02599,HIGHLY PERSUADABLE,1992.63,Free Premium Trial,2700.0,4661.1,1.73,NOT SELECTED
149,C10999,0.03531,Low,0.01365,HIGHLY PERSUADABLE,1899.0,Priority Support,1350.0,2332.8,1.73,NOT SELECTED
150,C04763,0.02403,Low,0.01262,LOW RESPONSE,1370.99,Loyalty Reward,900.0,1557.0,1.73,NOT SELECTED
151,C11564,0.00557,Low,0.00922,HIGHLY PERSUADABLE,1876.46,Loyalty Reward,900.0,1557.0,1.73,NOT SELECTED
152,C10760,0.03108,Low,0.01016,LOW RESPONSE,1700.99,Loyalty Reward,900.0,1555.2,1.73,NOT SELECTED
153,C02816,0.00463,Low,0.00964,LOW RESPONSE,1790.33,Loyalty Reward,900.0,1553.4,1.73,NOT SELECTED
154,C09657,0.00173,Low,0.03445,HIGHLY PERSUADABLE,1999.08,Medium Discount,3600.0,6198.3,1.72,NOT SELECTED
155,C02354,0.0065,Low,0.01995,HIGHLY PERSUADABLE,1727.66,Small Discount,1800.0,3102.3,1.72,NOT SELECTED
156,C02906,0.00577,Low,0.02062,LOW RESPONSE,1665.7,Small Discount,1800.0,3091.5,1.72,NOT SELECTED
157,C02764,0.00778,Low,0.01544,LOW RESPONSE,1674.78,Priority Support,1350.0,2327.4,1.72,NOT SELECTED
158,C05231,0.0038,Low,0.01499,LOW RESPONSE,1724.79,Priority Support,1350.0,2326.5,1.72,NOT SELECTED
159,C01333,0.00794,Low,0.01393,LOW RESPONSE,1851.89,Priority Support,1350.0,2322.0,1.72,NOT SELECTED
160,C03335,0.03918,Low,0.01413,HIGHLY PERSUADABLE,1822.18,Priority Support,1350.0,2317.5,1.72,NOT SELECTED
161,C02279,0.01841,Low,0.00998,LOW RESPONSE,1720.63,Loyalty Reward,900.0,1545.3,1.72,NOT SELECTED
162,C03179,0.02248,Low,0.03116,HIGHLY PERSUADABLE,1646.12,Free Premium Trial,2700.0,4616.1,1.71,NOT SELECTED
163,C09309,0.06629,Low,0.02664,HIGHLY PERSUADABLE,1286.25,Small Discount,1800.0,3084.3,1.71,NOT SELECTED
164,C08226,0.01296,Low,0.0167,HIGHLY PERSUADABLE,2050.93,Small Discount,1800.0,3082.5,1.71,NOT SELECTED
165,C03545,0.00525,Low,0.0151,LOW RESPONSE,1702.26,Priority Support,1350.0,2313.0,1.71,NOT SELECTED
166,C01539,0.02121,Low,0.01007,LOW RESPONSE,1699.38,Loyalty Reward,900.0,1539.9,1.71,NOT SELECTED
167,C02505,0.01643,Low,0.01719,LOW RESPONSE,1975.5,Small Discount,1800.0,3056.4,1.7,NOT SELECTED
168,C02090,0.00603,Low,0.01535,LOW RESPONSE,1660.21,Priority Support,1350.0,2293.2,1.7,NOT SELECTED
169,C03305,0.00507,Low,0.01062,LOW RESPONSE,1604.04,Loyalty Reward,900.0,1532.7,1.7,NOT SELECTED
170,C05387,0.06216,Low,0.02637,HIGHLY PERSUADABLE,1921.23,Free Premium Trial,2700.0,4559.4,1.69,NOT SELECTED
171,C11646,0.03338,Low,0.01637,HIGHLY PERSUADABLE,1546.42,Priority Support,1350.0,2277.9,1.69,NOT SELECTED
172,C09345,0.0242,Low,0.01276,LOW RESPONSE,1981.85,Priority Support,1350.0,2276.1,1.69,NOT SELECTED
173,C01642,0.00414,Low,0.00979,LOW RESPONSE,1724.68,Loyalty Reward,900.0,1519.2,1.69,NOT SELECTED
174,C09930,0.01093,Low,0.0085,LOW RESPONSE,1983.16,Loyalty Reward,900.0,1517.4,1.69,NOT SELECTED
175,C09961,0.02143,Low,0.01922,LOW RESPONSE,1743.53,Small Discount,1800.0,3015.9,1.68,NOT SELECTED
176,C02250,0.00658,Low,0.01319,LOW RESPONSE,1913.14,Priority Support,1350.0,2270.7,1.68,NOT SELECTED
177,C07135,0.0073,Low,0.01419,LOW RESPONSE,1774.85,Priority Support,1350.0,2267.1,1.68,NOT SELECTED
178,C03204,0.01108,Low,0.01363,LOW RESPONSE,1847.35,Priority Support,1350.0,2266.2,1.68,NOT SELECTED
179,C02475,0.01016,Low,0.01612,LOW RESPONSE,1045.48,Loyalty Reward,900.0,1516.5,1.68,NOT SELECTED
180,C02706,0.01334,Low,0.0094,LOW RESPONSE,1792.23,Loyalty Reward,900.0,1516.5,1.68,NOT SELECTED
181,C03389,0.01226,Low,0.00987,LOW RESPONSE,1698.96,Loyalty Reward,900.0,1509.3,1.68,NOT SELECTED
182,C05781,0.00692,Low,0.00881,LOW RESPONSE,1902.96,Loyalty Reward,900.0,1509.3,1.68,NOT SELECTED
183,C03425,0.01666,Low,0.03661,HIGHLY PERSUADABLE,1829.17,Medium Discount,3600.0,6027.3,1.67,NOT SELECTED
184,C05611,0.00587,Low,0.01607,HIGHLY PERSUADABLE,1554.42,Priority Support,1350.0,2248.2,1.67,NOT SELECTED
185,C11164,0.01173,Low,0.00856,LOW RESPONSE,1953.24,Loyalty Reward,900.0,1504.8,1.67,NOT SELECTED
186,C03281,0.00718,Low,0.0129,LOW RESPONSE,1932.24,Priority Support,1350.0,2243.7,1.66,NOT SELECTED
187,C04997,0.01591,Low,0.01525,LOW RESPONSE,1633.81,Priority Support,1350.0,2242.8,1.66,NOT SELECTED
188,C01454,0.05742,Low,0.02062,HIGHLY PERSUADABLE,807.02,Loyalty Reward,900.0,1497.6,1.66,NOT SELECTED
189,C10497,0.03519,Low,0.00932,HIGHLY PERSUADABLE,1784.03,Loyalty Reward,900.0,1496.7,1.66,NOT SELECTED
190,C01028,0.01618,Low,0.00966,LOW RESPONSE,1715.23,Loyalty Reward,900.0,1491.3,1.66,NOT SELECTED
191,C10155,0.95646,Critical,0.07204,HIGHLY PERSUADABLE,688.27,Free Premium Trial,2700.0,4462.2,1.65,NOT SELECTED
192,C05943,0.0149,Low,0.01654,LOW RESPONSE,2000.81,Small Discount,1800.0,2978.1,1.65,NOT SELECTED
193,C11867,0.00189,Low,0.01274,LOW RESPONSE,1944.25,Priority Support,1350.0,2229.3,1.65,NOT SELECTED
194,C08718,0.01683,Low,0.01243,LOW RESPONSE,1990.2,Priority Support,1350.0,2226.6,1.65,NOT SELECTED
195,C03010,0.02748,Low,0.01449,LOW RESPONSE,1706.74,Priority Support,1350.0,2225.7,1.65,NOT SELECTED
196,C05487,0.01048,Low,0.00793,LOW RESPONSE,2081.13,Loyalty Reward,900.0,1485.0,1.65,NOT SELECTED
197,C04390,0.00199,Low,0.01349,LOW RESPONSE,1222.15,Loyalty Reward,900.0,1484.1,1.65,NOT SELECTED
198,C11385,0.0591,Low,0.00909,HIGHLY PERSUADABLE,1812.61,Loyalty Reward,900.0,1483.2,1.65,NOT SELECTED
199,C01644,0.02343,Low,0.0267,HIGHLY PERSUADABLE,1846.77,Free Premium Trial,2700.0,4437.9,1.64,NOT SELECTED
200,C02433,0.00586,Low,0.00981,LOW RESPONSE,1676.19,Loyalty Reward,900.0,1479.6,1.64,NOT SELECTED
201,C07876,0.01929,Low,0.02106,LOW RESPONSE,780.6,Loyalty Reward,900.0,1479.6,1.64,NOT SELECTED
202,C11048,0.01631,Low,0.0086,LOW RESPONSE,1903.02,Loyalty Reward,900.0,1473.3,1.64,NOT SELECTED
203,C11719,0.00169,Low,0.02547,HIGHLY PERSUADABLE,1916.98,Free Premium Trial,2700.0,4394.7,1.63,NOT SELECTED
204,C03426,0.02249,Low,0.01833,LOW RESPONSE,1775.44,Small Discount,1800.0,2928.6,1.63,NOT SELECTED
205,C01533,0.02862,Low,0.00956,LOW RESPONSE,1709.12,Loyalty Reward,900.0,1470.6,1.63,NOT SELECTED
206,C11406,0.01233,Low,0.00847,LOW RESPONSE,1927.55,Loyalty Reward,900.0,1469.7,1.63,NOT SELECTED
207,C01904,0.01339,Low,0.00859,LOW RESPONSE,1899.79,Loyalty Reward,900.0,1468.8,1.63,NOT SELECTED
208,C10548,0.0166,Low,0.00828,LOW RESPONSE,1969.09,Loyalty Reward,900.0,1467.0,1.63,NOT SELECTED
209,C10726,0.07502,Low,0.00831,HIGHLY PERSUADABLE,1960.0,Loyalty Reward,900.0,1466.1,1.63,NOT SELECTED
210,C11758,0.00344,Low,0.00908,LOW RESPONSE,1793.31,Loyalty Reward,900.0,1465.2,1.63,NOT SELECTED
211,C10951,0.01499,Low,0.00812,LOW RESPONSE,2003.27,Loyalty Reward,900.0,1464.3,1.63,NOT SELECTED
212,C11511,0.07557,Low,0.01108,HIGHLY PERSUADABLE,1467.21,Loyalty Reward,900.0,1463.4,1.63,NOT SELECTED
