customer_id,customer_value_eur,customer_value_segment
C00111,817.43,Low Value
C00112,884.44,Low Value
C00113,1127.31,Medium Value
C00114,1369.77,High Value
C00115,905.76,Low Value
C00116,1023.68,Low Value
C00117,1029.17,Low Value
C00118,1015.27,Low Value
C00119,845.88,Low Value
C00120,968.13,Low Value
C00121,1125.5,Medium Value
C00122,1419.4,High Value
C00123,1442.46,High Value
C00124,954.69,Low Value
C00125,933.69,Low Value
C00126,932.23,Low Value
C00127,948.21,Low Value
C00128,969.28,Low Value
C00129,773.92,Low Value
C00130,1325.67,Medium Value
C00131,1586.42,High Value
C00132,1270.27,Medium Value
C00133,1197.44,Medium Value
C00134,843.21,Low Value
C00135,995.87,Low Value
C00136,817.45,Low Value
C00137,892.29,Low Value
C00138,947.19,Low Value
C00139,894.14,Low Value
C00140,867.9,Low Value
C00141,984.18,Low Value
C00142,1136.39,Medium Value
C00143,1072.91,Medium Value
C00144,1302.24,Medium Value
C00145,1123.37,Medium Value
C00146,855.59,Low Value
C00147,947.52,Low Value
C00148,760.86,Low Value
C00149,1124.18,Medium Value
C00150,729.3,Low Value
C00151,388.51,Low Value
C00152,1209.73,Medium Value
C00153,865.24,Low Value
C00154,1255.86,Medium Value
C00155,868.81,Low Value
C00156,1736.24,Very High Value
C00157,936.61,Low Value
C00158,763.87,Low Value
C00159,926.33,Low Value
C00160,1275.18,Medium Value
C00161,807.8,Low Value
C00162,1213.28,Medium Value
C00163,825.47,Low Value
C00164,1337.63,Medium Value
C00165,953.33,Low Value
C00166,864.05,Low Value
C00167,1053.15,Medium Value
C00168,1221.69,Medium Value
C00169,932.27,Low Value
C00170,1111.44,Medium Value
C00171,1479.47,High Value
C00172,1712.11,Very High Value
C00173,1176.07,Medium Value
C00174,823.71,Low Value
C00175,1219.18,Medium Value
C00176,1698.36,Very High Value
C00177,1322.93,Medium Value
C00178,956.63,Low Value
C00179,942.3,Low Value
C00180,881.12,Low Value
C00181,1629.84,High Value
C00182,1137.94,Medium Value
C00183,862.64,Low Value
C00184,1489.89,High Value
C00185,1411.86,High Value
C00186,758.97,Low Value
C00187,1161.87,Medium Value
C00188,1275.39,Medium Value
C00189,1003.25,Low Value
C00190,1032.47,Low Value
C00191,827.79,Low Value
C00192,920.26,Low Value
C00193,1252.37,Medium Value
C00194,1270.3,Medium Value
C00195,894.37,Low Value
C00196,1140.82,Medium Value
C00197,915.0,Low Value
C00198,414.29,Low Value
C00199,833.88,Low Value
C00200,861.45,Low Value
C00201,1222.34,Medium Value
C00202,1051.61,Medium Value
C00203,1298.4,Medium Value
C00204,1022.11,Low Value
C00205,1031.64,Low Value
C00206,777.86,Low Value
C00207,387.39,Low Value
C00208,945.62,Low Value
C00209,1212.19,Medium Value
C00210,780.56,Low Value
C00211,1100.37,Medium Value
C00212,1367.36,High Value
C00213,1184.12,Medium Value
C00214,1054.98,Medium Value
C00215,1323.42,Medium Value
C00216,956.75,Low Value
C00217,1232.08,Medium Value
C00218,975.25,Low Value
C00219,1264.93,Medium Value
C00220,608.38,Low Value
C00221,1373.18,High Value
C00222,833.41,Low Value
C00223,1489.88,High Value
C00224,923.09,Low Value
C00225,1245.46,Medium Value
C00226,861.55,Low Value
C00227,1218.64,Medium Value
C00228,743.44,Low Value
C00229,1298.69,Medium Value
C00230,824.43,Low Value
C00231,1185.31,Medium Value
C00232,1225.27,Medium Value
C00233,819.4,Low Value
C00234,985.12,Low Value
C00235,1178.61,Medium Value
C00236,998.19,Low Value
C00237,1551.13,High Value
C00238,739.03,Low Value
C00239,809.35,Low Value
C00240,1266.01,Medium Value
C00241,816.85,Low Value
C00242,1020.95,Low Value
C00243,835.75,Low Value
C00244,1283.56,Medium Value
C00245,957.32,Low Value
C00246,1240.92,Medium Value
C00247,1400.83,High Value
C00248,1180.48,Medium Value
C00249,865.0,Low Value
C00250,1067.43,Medium Value
C00251,1281.49,Medium Value
C00252,1476.28,High Value
C00253,847.81,Low Value
C00254,1012.44,Low Value
C00255,1075.93,Medium Value
C00256,1452.93,High Value
C00257,1228.71,Medium Value
C00258,1166.15,Medium Value
C00259,1389.79,High Value
C00260,1283.52,Medium Value
C00261,849.42,Low Value
C00262,974.76,Low Value
C00263,875.28,Low Value
C00264,690.04,Low Value
C00265,953.76,Low Value
C00266,1050.98,Medium Value
C00267,831.04,Low Value
C00268,1464.06,High Value
C00269,1074.84,Medium Value
C00270,1156.13,Medium Value
C00271,1083.01,Medium Value
C00272,1177.87,Medium Value
C00273,1338.06,Medium Value
C00274,1086.96,Medium Value
C00275,839.5,Low Value
C00276,858.37,Low Value
C00277,1348.84,Medium Value
C00278,1237.78,Medium Value
C00279,1189.35,Medium Value
C00280,1249.96,Medium Value
C00281,1248.64,Medium Value
C00282,1213.31,Medium Value
C00283,1089.09,Medium Value
C00284,1056.68,Medium Value
C00285,994.11,Low Value
C00286,1600.21,High Value
C00287,362.98,Low Value
C00288,1422.41,High Value
C00289,1315.93,Medium Value
C00290,1614.39,High Value
C00291,1029.41,Low Value
C00292,929.83,Low Value
C00293,680.5,Low Value
C00294,803.38,Low Value
C00295,1119.71,Medium Value
C00296,1103.48,Medium Value
C00297,1446.81,High Value
C00298,863.39,Low Value
C00299,766.99,Low Value
C00300,1105.63,Medium Value
C00301,834.19,Low Value
C00302,1186.74,Medium Value
C00303,1507.96,High Value
C00304,785.61,Low Value
C00305,842.74,Low Value
C00306,373.74,Low Value
C00307,882.04,Low Value
C00308,974.49,Low Value
C00309,1051.96,Medium Value
C00310,1113.17,Medium Value
C00311,677.98,Low Value
C00312,1004.37,Low Value
C00313,816.56,Low Value
C00314,380.45,Low Value
C00315,838.1,Low Value
C00316,905.45,Low Value
C00317,1303.84,Medium Value
C00318,1389.5,High Value
C00319,947.25,Low Value
C00320,873.5,Low Value
C00321,893.76,Low Value
C00322,1032.42,Low Value
C00323,1116.11,Medium Value
C00324,894.14,Low Value
C00325,890.04,Low Value
C00326,552.07,Low Value
C00327,933.09,Low Value
C00328,1262.21,Medium Value
C00329,820.52,Low Value
C00330,842.92,Low Value
C00331,872.36,Low Value
C00332,615.27,Low Value
C00333,1036.71,Medium Value
C00334,1409.02,High Value
C00335,1014.87,Low Value
C00336,1347.64,Medium Value
C00337,965.64,Low Value
C00338,1517.63,High Value
C00339,1132.46,Medium Value
C00340,774.76,Low Value
C00341,1280.33,Medium Value
C00342,1033.94,Low Value
C00343,892.64,Low Value
C00344,1168.97,Medium Value
C00345,759.18,Low Value
C00346,949.47,Low Value
C00347,1328.3,Medium Value
C00348,1391.26,High Value
C00349,1467.43,High Value
C00350,1111.63,Medium Value
C00351,945.94,Low Value
C00352,770.36,Low Value
C00353,1202.22,Medium Value
C00354,864.73,Low Value
C00355,1499.42,High Value
C00356,1365.94,High Value
C00357,1028.13,Low Value
C00358,816.45,Low Value
C00359,1182.73,Medium Value
C00360,878.05,Low Value
C00361,853.95,Low Value
C00362,1538.3,High Value
C00363,1187.98,Medium Value
C00364,1545.55,High Value
C00365,894.02,Low Value
C00366,835.28,Low Value
C00367,1293.58,Medium Value
C00368,1064.48,Medium Value
C00369,1685.24,High Value
C00370,844.95,Low Value
C00371,891.29,Low Value
C00372,1399.42,High Value
C00373,728.07,Low Value
C00374,869.87,Low Value
C00375,1149.0,Medium Value
C00376,852.23,Low Value
C00377,1210.69,Medium Value
C00378,1443.54,High Value
C00379,765.68,Low Value
C00380,966.62,Low Value
C00381,801.73,Low Value
C00382,876.91,Low Value
C00383,1374.89,High Value
C00384,1084.41,Medium Value
C00385,961.27,Low Value
C00386,983.19,Low Value
C00387,849.53,Low Value
C00388,828.22,Low Value
C00389,1243.86,Medium Value
C00390,816.73,Low Value
C00391,1527.28,High Value
C00392,856.93,Low Value
C00393,749.22,Low Value
C00394,1058.22,Medium Value
C00395,845.08,Low Value
C00396,774.52,Low Value
C00397,1401.07,High Value
C00398,862.65,Low Value
C00399,1037.28,Medium Value
C00400,1004.79,Low Value
C00401,939.03,Low Value
C00402,1114.37,Medium Value
C00403,1134.9,Medium Value
C00404,769.13,Low Value
C00405,1127.44,Medium Value
C00406,1702.72,Very High Value
C00407,949.43,Low Value
C00408,1148.46,Medium Value
C00409,1162.37,Medium Value
C00410,928.96,Low Value
C00411,1198.59,Medium Value
C00412,1013.73,Low Value
C00413,1000.1,Low Value
C00414,668.35,Low Value
C00415,1372.88,High Value
C00416,962.97,Low Value
C00417,1897.93,Very High Value
C00418,1363.84,High Value
C00419,947.01,Low Value
C00420,1202.96,Medium Value
C00421,1132.45,Medium Value
C00422,932.98,Low Value
C00423,1585.54,High Value
C00424,823.59,Low Value
C00425,843.34,Low Value
C00426,1403.64,High Value
C00427,1392.53,High Value
C00428,1719.74,Very High Value
C00429,1346.33,Medium Value
C00430,1047.4,Medium Value
C00431,852.63,Low Value
C00432,1530.31,High Value
C00433,1386.9,High Value
C00434,1223.33,Medium Value
C00435,1108.75,Medium Value
C00436,1119.78,Medium Value
C00437,1227.9,Medium Value
C00438,1615.29,High Value
C00439,1107.0,Medium Value
C00440,831.82,Low Value
C00441,1598.94,High Value
C00442,1316.03,Medium Value
C00443,1144.19,Medium Value
C00444,1234.81,Medium Value
C00445,1017.22,Low Value
C00446,914.36,Low Value
C00447,1482.9,High Value
C00448,788.16,Low Value
C00449,1233.12,Medium Value
C00450,946.95,Low Value
C00451,458.36,Low Value
C00452,827.34,Low Value
C00453,962.31,Low Value
C00454,903.69,Low Value
C00455,1394.73,High Value
C00456,986.7,Low Value
C00457,1180.71,Medium Value
C00458,1040.89,Medium Value
C00459,769.05,Low Value
C00460,1473.88,High Value
C00461,794.17,Low Value
C00462,1643.05,High Value
C00463,778.71,Low Value
C00464,1331.89,Medium Value
C00465,1063.15,Medium Value
C00466,983.72,Low Value
C00467,1083.88,Medium Value
C00468,1130.18,Medium Value
C00469,812.26,Low Value
C00470,1430.72,High Value
C00471,1295.93,Medium Value
C00472,1484.74,High Value
C00473,1073.56,Medium Value
C00474,882.87,Low Value
C00475,1465.28,High Value
C00476,842.51,Low Value
C00477,811.58,Low Value
C00478,1059.37,Medium Value
C00479,1292.37,Medium Value
C00480,945.99,Low Value
C00481,1198.33,Medium Value
C00482,916.36,Low Value
C00483,949.84,Low Value
C00484,840.56,Low Value
C00485,1035.4,Low Value
C00486,779.52,Low Value
C00487,803.44,Low Value
C00488,1277.92,Medium Value
C00489,1116.11,Medium Value
C00490,1088.28,Medium Value
C00491,938.89,Low Value
C00492,1088.89,Medium Value
C00493,947.04,Low Value
C00494,1385.53,High Value
C00495,820.04,Low Value
C00496,945.62,Low Value
C00497,1078.66,Medium Value
C00498,1417.74,High Value
C00499,1330.59,Medium Value
C00500,1053.97,Medium Value
C00501,1162.14,Medium Value
C00502,899.62,Low Value
C00503,1006.09,Low Value
C00504,1130.48,Medium Value
C00505,1371.3,High Value
C00506,1377.34,High Value
C00507,609.26,Low Value
C00508,1030.87,Low Value
C00509,1310.82,Medium Value
C00510,1224.98,Medium Value
C00511,1047.22,Medium Value
C00512,698.01,Low Value
C00513,1339.19,Medium Value
C00514,1390.31,High Value
C00515,834.59,Low Value
C00516,848.33,Low Value
C00517,1188.58,Medium Value
C00518,792.39,Low Value
C00519,992.94,Low Value
C00520,754.75,Low Value
C00521,1489.8,High Value
C00522,818.89,Low Value
C00523,835.33,Low Value
C00524,926.85,Low Value
C00525,1011.33,Low Value
C00526,1022.64,Low Value
C00527,1402.09,High Value
C00528,876.23,Low Value
C00529,1082.86,Medium Value
C00530,895.62,Low Value
C00531,1051.95,Medium Value
C00532,975.22,Low Value
C00533,1418.36,High Value
C00534,1039.94,Medium Value
C00535,1108.35,Medium Value
C00536,1074.62,Medium Value
C00537,1134.62,Medium Value
C00538,927.15,Low Value
C00539,1014.54,Low Value
C00540,1077.52,Medium Value
C00541,791.89,Low Value
C00542,857.12,Low Value
C00543,962.38,Low Value
C00544,844.41,Low Value
C00545,879.18,Low Value
C00546,804.02,Low Value
C00547,928.03,Low Value
C00548,924.95,Low Value
C00549,1608.79,High Value
C00550,1191.16,Medium Value
C00551,771.46,Low Value
C00552,944.46,Low Value
C00553,842.39,Low Value
C00554,1748.25,Very High Value
C00555,793.0,Low Value
C00556,1009.07,Low Value
C00557,879.53,Low Value
C00558,998.04,Low Value
C00559,1289.75,Medium Value
C00560,1472.45,High Value
C00561,879.6,Low Value
C00562,973.05,Low Value
C00563,1398.76,High Value
C00564,1144.9,Medium Value
C00565,850.44,Low Value
C00566,1053.03,Medium Value
C00567,1273.16,Medium Value
C00568,1242.36,Medium Value
C00569,1050.12,Medium Value
C00570,1292.0,Medium Value
C00571,1040.79,Medium Value
C00572,969.97,Low Value
C00573,1024.2,Low Value
C00574,1626.98,High Value
C00575,1681.66,High Value
C00576,940.43,Low Value
C00577,1032.11,Low Value
C00578,743.4,Low Value
C00579,885.69,Low Value
C00580,1525.45,High Value
C00581,1192.7,Medium Value
C00582,818.99,Low Value
C00583,1356.24,Medium Value
C00584,835.5,Low Value
C00585,1420.73,High Value
C00586,1081.29,Medium Value
C00587,815.09,Low Value
C00588,1042.91,Medium Value
C00589,1096.48,Medium Value
C00590,1540.39,High Value
C00591,930.54,Low Value
C00592,1060.83,Medium Value
C00593,1699.0,Very High Value
C00594,726.78,Low Value
C00595,1004.91,Low Value
C00596,1057.94,Medium Value
C00597,1113.14,Medium Value
C00598,1099.51,Medium Value
C00599,862.41,Low Value
C00600,1309.4,Medium Value
C00601,1467.53,High Value
C00602,893.6,Low Value
C00603,1182.74,Medium Value
C00604,770.61,Low Value
C00605,1340.95,Medium Value
C00606,1636.02,High Value
C00607,1223.19,Medium Value
C00608,936.94,Low Value
C00609,1081.41,Medium Value
C00610,897.75,Low Value
C00611,1341.98,Medium Value
C00612,1421.93,High Value
C00613,782.71,Low Value
C00614,1077.95,Medium Value
C00615,1230.14,Medium Value
C00616,856.31,Low Value
C00617,1207.35,Medium Value
C00618,704.33,Low Value
C00619,1827.39,Very High Value
C00620,1077.54,Medium Value
C00621,477.69,Low Value
C00622,1299.73,Medium Value
C00623,1507.17,High Value
C00624,716.18,Low Value
C00625,1025.62,Low Value
C00626,1046.45,Medium Value
C00627,1489.42,High Value
C00628,1073.0,Medium Value
C00629,1325.67,Medium Value
C00630,1137.63,Medium Value
C00631,875.43,Low Value
C00632,1737.73,Very High Value
C00633,439.37,Low Value
C00634,1630.03,High Value
C00635,947.17,Low Value
C00636,880.79,Low Value
C00637,1656.61,High Value
C00638,819.67,Low Value
C00639,383.1,Low Value
C00640,1648.22,High Value
C00641,802.86,Low Value
C00642,2054.33,Very High Value
C00643,1260.27,Medium Value
C00644,974.46,Low Value
C00645,818.0,Low Value
C00646,1130.23,Medium Value
C00647,1085.08,Medium Value
C00648,839.43,Low Value
C00649,1512.81,High Value
C00650,1010.37,Low Value
C00651,1143.4,Medium Value
C00652,793.71,Low Value
C00653,994.94,Low Value
C00654,982.14,Low Value
C00655,1143.33,Medium Value
C00656,964.57,Low Value
C00657,1868.05,Very High Value
C00658,1153.93,Medium Value
C00659,1541.94,High Value
C00660,1364.86,High Value
C00661,1955.95,Very High Value
C00662,932.62,Low Value
C00663,1237.33,Medium Value
C00664,1013.33,Low Value
C00665,1503.22,High Value
C00666,1202.47,Medium Value
C00667,1125.39,Medium Value
C00668,1113.04,Medium Value
C00669,1325.29,Medium Value
C00670,1169.18,Medium Value
C00671,1229.88,Medium Value
C00672,792.46,Low Value
C00673,961.41,Low Value
C00674,1883.42,Very High Value
C00675,913.53,Low Value
C00676,1259.84,Medium Value
C00677,1082.67,Medium Value
C00678,1329.24,Medium Value
C00679,1743.59,Very High Value
C00680,1019.13,Low Value
C00681,790.74,Low Value
C00682,1212.08,Medium Value
C00683,862.48,Low Value
C00684,1289.72,Medium Value
C00685,1203.95,Medium Value
C00686,822.43,Low Value
C00687,1267.07,Medium Value
C00688,1349.43,Medium Value
C00689,955.54,Low Value
C00690,1024.72,Low Value
C00691,1039.68,Medium Value
C00692,857.48,Low Value
C00693,1018.05,Low Value
C00694,1091.57,Medium Value
C00695,1762.84,Very High Value
C00696,1100.33,Medium Value
C00697,1547.42,High Value
C00698,1035.34,Low Value
C00699,1313.95,Medium Value
C00700,1190.85,Medium Value
C00701,1228.14,Medium Value
C00702,1311.17,Medium Value
C00703,1162.95,Medium Value
C00704,1073.99,Medium Value
C00705,1261.29,Medium Value
C00706,1388.88,High Value
C00707,1261.18,Medium Value
C00708,811.0,Low Value
C00709,1513.81,High Value
C00710,1622.42,High Value
C00711,1520.23,High Value
C00712,1404.41,High Value
C00713,1129.96,Medium Value
C00714,1070.26,Medium Value
C00715,885.29,Low Value
C00716,993.05,Low Value
C00717,812.11,Low Value
C00718,1161.57,Medium Value
C00719,816.16,Low Value
C00720,1626.76,High Value
C00721,1790.52,Very High Value
C00722,718.71,Low Value
C00723,1289.05,Medium Value
C00724,1224.14,Medium Value
C00725,887.15,Low Value
C00726,1177.83,Medium Value
C00727,1450.44,High Value
C00728,702.83,Low Value
C00729,1575.58,High Value
C00730,1373.53,High Value
C00731,1589.19,High Value
C00732,1153.25,Medium Value
C00733,1164.43,Medium Value
C00734,1573.68,High Value
C00735,1385.73,High Value
C00736,1075.58,Medium Value
C00737,837.52,Low Value
C00738,1242.88,Medium Value
C00739,1312.81,Medium Value
C00740,1131.39,Medium Value
C00741,799.77,Low Value
C00742,1461.19,High Value
C00743,1444.23,High Value
C00744,750.14,Low Value
C00745,826.75,Low Value
C00746,785.65,Low Value
C00747,766.99,Low Value
C00748,1503.01,High Value
C00749,1105.56,Medium Value
C00750,824.46,Low Value
C00751,999.96,Low Value
C00752,1723.4,Very High Value
C00753,1597.57,High Value
C00754,1124.78,Medium Value
C00755,1519.82,High Value
C00756,773.11,Low Value
C00757,1592.6,High Value
C00758,1387.11,High Value
C00759,1688.42,High Value
C00760,824.81,Low Value
C00761,1586.0,High Value
C00762,844.73,Low Value
C00763,1520.97,High Value
C00764,1738.49,Very High Value
C00765,942.91,Low Value
C00766,1329.32,Medium Value
C00767,882.88,Low Value
C00768,1176.58,Medium Value
C00769,1015.78,Low Value
C00770,1315.77,Medium Value
C00771,1338.77,Medium Value
C00772,947.99,Low Value
C00773,518.06,Low Value
C00774,979.04,Low Value
C00775,1517.21,High Value
C00776,1022.25,Low Value
C00777,1059.12,Medium Value
C00778,811.18,Low Value
C00779,1567.68,High Value
C00780,995.23,Low Value
C00781,792.83,Low Value
C00782,1537.92,High Value
C00783,1203.91,Medium Value
C00784,752.48,Low Value
C00785,717.06,Low Value
C00786,1689.03,High Value
C00787,659.64,Low Value
C00788,1655.53,High Value
C00789,1121.76,Medium Value
C00790,1135.11,Medium Value
C00791,904.81,Low Value
C00792,789.44,Low Value
C00793,937.11,Low Value
C00794,1254.6,Medium Value
C00795,1071.43,Medium Value
C00796,877.49,Low Value
C00797,1021.34,Low Value
C00798,1146.58,Medium Value
C00799,1136.03,Medium Value
C00800,1099.08,Medium Value
C00801,1537.1,High Value
C00802,1580.56,High Value
C00803,1052.1,Medium Value
C00804,995.48,Low Value
C00805,1140.67,Medium Value
C00806,1014.27,Low Value
C00807,1988.29,Very High Value
C00808,1031.02,Low Value
C00809,953.57,Low Value
C00810,1257.55,Medium Value
C00811,739.01,Low Value
C00812,1452.85,High Value
C00813,1195.14,Medium Value
C00814,779.91,Low Value
C00815,1632.0,High Value
C00816,1353.97,Medium Value
C00817,1616.65,High Value
C00818,780.99,Low Value
C00819,1240.72,Medium Value
C00820,974.83,Low Value
C00821,816.52,Low Value
C00822,1384.05,High Value
C00823,1605.53,High Value
C00824,1152.9,Medium Value
C00825,1530.37,High Value
C00826,1516.57,High Value
C00827,824.63,Low Value
C00828,1620.19,High Value
C00829,1016.44,Low Value
C00830,1406.92,High Value
C00831,1326.86,Medium Value
C00832,824.31,Low Value
C00833,816.74,Low Value
C00834,808.49,Low Value
C00835,741.9,Low Value
C00836,1472.37,High Value
C00837,1163.5,Medium Value
C00838,1013.12,Low Value
C00839,1035.41,Low Value
C00840,2003.46,Very High Value
C00841,991.43,Low Value
C00842,1562.05,High Value
C00843,998.45,Low Value
C00844,831.68,Low Value
C00845,1395.11,High Value
C00846,1645.54,High Value
C00847,1570.33,High Value
C00848,1874.92,Very High Value
C00849,1580.87,High Value
C00850,980.96,Low Value
C00851,912.81,Low Value
C00852,902.41,Low Value
C00853,887.82,Low Value
C00854,1104.22,Medium Value
C00855,1035.91,Low Value
C00856,1370.64,High Value
C00857,1403.11,High Value
C00858,1092.35,Medium Value
C00859,924.52,Low Value
C00860,1191.93,Medium Value
C00861,930.55,Low Value
C00862,976.58,Low Value
C00863,1377.94,High Value
C00864,1268.64,Medium Value
C00865,868.8,Low Value
C00866,1660.41,High Value
C00867,1161.34,Medium Value
C00868,1156.9,Medium Value
C00869,829.91,Low Value
C00870,878.75,Low Value
C00871,1012.26,Low Value
C00872,1022.36,Low Value
C00873,1399.62,High Value
C00874,1570.28,High Value
C00875,682.92,Low Value
C00876,805.88,Low Value
C00877,1206.26,Medium Value
C00878,502.56,Low Value
C00879,1097.31,Medium Value
C00880,1611.35,High Value
C00881,1195.21,Medium Value
C00882,1102.81,Medium Value
C00883,1574.11,High Value
C00884,1783.57,Very High Value
C00885,975.55,Low Value
C00886,1394.77,High Value
C00887,1194.32,Medium Value
C00888,912.99,Low Value
C00889,1217.76,Medium Value
C00890,1357.29,Medium Value
C00891,1395.74,High Value
C00892,1536.9,High Value
C00893,998.57,Low Value
C00894,985.97,Low Value
C00895,1194.41,Medium Value
C00896,773.06,Low Value
C00897,1122.56,Medium Value
C00898,910.51,Low Value
C00899,1033.08,Low Value
C00900,643.13,Low Value
C00901,1415.92,High Value
C00902,852.56,Low Value
C00903,1079.98,Medium Value
C00904,900.61,Low Value
C00905,946.86,Low Value
C00906,1547.32,High Value
C00907,1796.77,Very High Value
C00908,1323.47,Medium Value
C00909,1830.01,Very High Value
C00910,1247.36,Medium Value
C00911,1895.33,Very High Value
C00912,1449.0,High Value
C00913,1125.91,Medium Value
C00914,1867.37,Very High Value
C00915,1022.35,Low Value
C00916,1305.3,Medium Value
C00917,733.94,Low Value
C00918,1273.61,Medium Value
C00919,1633.93,High Value
C00920,816.09,Low Value
C00921,1203.23,Medium Value
C00922,1652.54,High Value
C00923,1189.97,Medium Value
C00924,1048.38,Medium Value
C00925,1126.47,Medium Value
C00926,1488.28,High Value
C00927,853.62,Low Value
C00928,1149.53,Medium Value
C00929,1359.79,High Value
C00930,1092.23,Medium Value
C00931,1176.08,Medium Value
C00932,1005.73,Low Value
C00933,1108.53,Medium Value
C00934,1525.33,High Value
C00935,1278.63,Medium Value
C00936,849.41,Low Value
C00937,1348.07,Medium Value
C00938,851.98,Low Value
C00939,1696.51,Very High Value
C00940,1732.84,Very High Value
C00941,1295.82,Medium Value
C00942,1339.9,Medium Value
C00943,1520.9,High Value
C00944,1163.77,Medium Value
C00945,1328.15,Medium Value
C00946,780.25,Low Value
C00947,1297.24,Medium Value
C00948,1283.57,Medium Value
C00949,1654.4,High Value
C00950,1188.32,Medium Value
C00951,1771.54,Very High Value
C00952,955.59,Low Value
C00953,937.92,Low Value
C00954,2020.04,Very High Value
C00955,697.73,Low Value
C00956,805.08,Low Value
C00957,1243.91,Medium Value
C00958,1836.56,Very High Value
C00959,823.01,Low Value
C00960,1257.59,Medium Value
C00961,1253.75,Medium Value
C00962,1052.59,Medium Value
C00963,1035.74,Low Value
C00964,1467.53,High Value
C00965,1732.98,Very High Value
C00966,1010.56,Low Value
C00967,1614.62,High Value
C00968,1056.05,Medium Value
C00969,1480.81,High Value
C00970,471.95,Low Value
C00971,1215.16,Medium Value
C00972,530.04,Low Value
C00973,872.57,Low Value
C00974,963.86,Low Value
C00975,1511.58,High Value
C00976,803.63,Low Value
C00977,1579.35,High Value
C00978,1174.85,Medium Value
C00979,1340.42,Medium Value
C00980,1363.89,High Value
C00981,935.05,Low Value
C00982,1454.47,High Value
C00983,1456.6,High Value
C00984,1321.19,Medium Value
C00985,875.19,Low Value
C00986,951.16,Low Value
C00987,852.45,Low Value
C00988,1665.86,High Value
C00989,1433.08,High Value
C00990,1146.26,Medium Value
C00991,1526.49,High Value
C00992,1448.15,High Value
C00993,1074.43,Medium Value
C00994,1042.15,Medium Value
C00995,1478.09,High Value
C00996,912.42,Low Value
C00997,1200.43,Medium Value
C00998,703.73,Low Value
C00999,1746.35,Very High Value
C01000,1157.18,Medium Value
C01001,1955.37,Very High Value
C01002,1559.81,High Value
C01003,1092.31,Medium Value
C01004,1432.06,High Value
C01005,1618.53,High Value
C01006,1159.75,Medium Value
C01007,1498.18,High Value
C01008,711.71,Low Value
C01009,918.7,Low Value
C01010,1505.86,High Value
C01011,1625.95,High Value
C01012,1777.76,Very High Value
