customer_id,churn_probability,risk_level,control_churn_probability,treatment_churn_probability,uplift,persuadability_segment,customer_value_eur,customer_value_segment,recommended_offer,recommended_offer_cost,recommended_expected_value,recommended_roi,recommendation_reason
C00012,0.02265,Low,0.00874,0.01233,-0.00358,NEGATIVE RESPONSE,838.18,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00013,0.0025,Low,0.01,0.00842,0.00157,LOW RESPONSE,802.11,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00014,0.20303,Low,0.01058,0.08491,-0.07433,NEGATIVE RESPONSE,844.86,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00015,0.0033,Low,0.00754,0.00937,-0.00182,NEGATIVE RESPONSE,836.65,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00016,0.1232,Low,0.01032,0.03714,-0.02682,NEGATIVE RESPONSE,1297.83,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00017,0.00855,Low,0.00713,0.00636,0.00078,LOW RESPONSE,903.0,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00018,0.00818,Low,0.0068,0.00827,-0.00147,NEGATIVE RESPONSE,931.13,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00019,0.00361,Low,0.00665,0.00992,-0.00327,NEGATIVE RESPONSE,1405.92,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00020,0.00903,Low,0.00721,0.01184,-0.00464,NEGATIVE RESPONSE,1045.92,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00021,0.00313,Low,0.0057,0.00764,-0.00195,NEGATIVE RESPONSE,857.63,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00022,0.00247,Low,0.00421,0.00586,-0.00166,NEGATIVE RESPONSE,1373.05,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00023,0.01083,Low,0.00797,0.00898,-0.00101,NEGATIVE RESPONSE,1063.12,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00024,0.01984,Low,0.00585,0.06031,-0.05446,NEGATIVE RESPONSE,1006.18,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00025,0.00363,Low,0.00449,0.00786,-0.00337,NEGATIVE RESPONSE,1047.06,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00026,0.00524,Low,0.00589,0.00705,-0.00116,NEGATIVE RESPONSE,852.24,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00027,0.105,Low,0.00622,0.05609,-0.04988,NEGATIVE RESPONSE,747.3,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00028,0.00185,Low,0.00526,0.00607,-0.00081,LOW RESPONSE,855.79,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00029,0.19082,Low,0.00747,0.07698,-0.06951,NEGATIVE RESPONSE,918.51,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00030,0.00157,Low,0.00423,0.00732,-0.00309,NEGATIVE RESPONSE,891.81,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00031,0.00332,Low,0.00552,0.00708,-0.00156,NEGATIVE RESPONSE,1358.65,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00032,0.11824,Low,0.02488,0.06757,-0.04269,NEGATIVE RESPONSE,887.88,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00033,0.06299,Low,0.00529,0.03952,-0.03423,NEGATIVE RESPONSE,875.84,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00034,0.00118,Low,0.00752,0.00632,0.00121,LOW RESPONSE,1379.08,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00035,0.04634,Low,0.00496,0.03438,-0.02942,NEGATIVE RESPONSE,788.55,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00036,0.0049,Low,0.01009,0.00591,0.00418,LOW RESPONSE,1231.17,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00037,0.01145,Low,0.00929,0.00574,0.00354,LOW RESPONSE,1108.77,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00038,0.00194,Low,0.00784,0.00578,0.00206,LOW RESPONSE,1569.47,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00039,0.00386,Low,0.01803,0.00672,0.01131,LOW RESPONSE,1246.14,Medium Value,Loyalty Reward,10.0,14.09,1.41,Moderate uplift but low offer cost
C00040,0.3659,Medium,0.00951,0.0409,-0.0314,NEGATIVE RESPONSE,699.33,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00041,0.00138,Low,0.00856,0.00542,0.00314,LOW RESPONSE,1448.72,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00042,0.02132,Low,0.00815,0.03215,-0.02401,NEGATIVE RESPONSE,1264.33,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00043,0.02512,Low,0.01415,0.02001,-0.00586,NEGATIVE RESPONSE,836.39,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00044,0.04721,Low,0.01171,0.0401,-0.02839,NEGATIVE RESPONSE,835.39,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00045,0.0717,Low,0.00507,0.02846,-0.02339,NEGATIVE RESPONSE,1018.91,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00046,0.01353,Low,0.00581,0.02418,-0.01837,NEGATIVE RESPONSE,1193.31,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00047,0.03895,Low,0.00607,0.02087,-0.0148,NEGATIVE RESPONSE,881.65,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00048,0.00292,Low,0.00482,0.00526,-0.00044,LOW RESPONSE,907.06,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00049,0.00193,Low,0.00807,0.00781,0.00026,LOW RESPONSE,1426.43,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00050,0.92756,Critical,0.0102,0.05184,-0.04164,NEGATIVE RESPONSE,550.58,Low Value,No Action,0.0,0.0,0.0,High churn risk but low estimated intervention response
C00051,0.00459,Low,0.00491,0.00876,-0.00385,NEGATIVE RESPONSE,1119.14,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00052,0.02077,Low,0.00811,0.02319,-0.01509,NEGATIVE RESPONSE,814.84,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00053,0.00443,Low,0.01549,0.00857,0.00693,LOW RESPONSE,1329.69,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00054,0.01094,Low,0.00958,0.00859,0.00099,LOW RESPONSE,1116.44,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00055,0.00426,Low,0.0063,0.00717,-0.00088,LOW RESPONSE,1230.49,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00056,0.07103,Low,0.00524,0.0245,-0.01926,NEGATIVE RESPONSE,773.92,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00057,0.06296,Low,0.0092,0.08956,-0.08037,NEGATIVE RESPONSE,1141.83,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00058,0.01131,Low,0.00923,0.0095,-0.00027,LOW RESPONSE,1376.56,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00059,0.00379,Low,0.01074,0.00762,0.00311,LOW RESPONSE,909.84,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00060,0.00284,Low,0.01325,0.00956,0.00369,LOW RESPONSE,778.65,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00061,0.00716,Low,0.00631,0.00661,-0.0003,LOW RESPONSE,1423.92,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00062,0.0123,Low,0.01116,0.01005,0.00112,LOW RESPONSE,1020.97,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00063,0.00123,Low,0.00455,0.00631,-0.00176,NEGATIVE RESPONSE,1075.58,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00064,0.18299,Low,0.00893,0.06164,-0.0527,NEGATIVE RESPONSE,939.33,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00065,0.03594,Low,0.00665,0.02044,-0.01379,NEGATIVE RESPONSE,891.92,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00066,0.16913,Low,0.0103,0.04169,-0.03139,NEGATIVE RESPONSE,1131.68,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00067,0.32338,Medium,0.00654,0.0595,-0.05295,NEGATIVE RESPONSE,793.23,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00068,0.00252,Low,0.01039,0.00721,0.00318,LOW RESPONSE,1595.76,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00069,0.00528,Low,0.00473,0.0068,-0.00207,NEGATIVE RESPONSE,1374.35,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00070,0.00788,Low,0.00784,0.00612,0.00172,LOW RESPONSE,1487.79,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00071,0.05964,Low,0.00515,0.03013,-0.02498,NEGATIVE RESPONSE,894.12,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00072,0.03324,Low,0.01518,0.06423,-0.04905,NEGATIVE RESPONSE,741.8,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00073,0.03533,Low,0.00522,0.03961,-0.03439,NEGATIVE RESPONSE,1079.04,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00074,0.0062,Low,0.00635,0.00766,-0.00132,NEGATIVE RESPONSE,816.92,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00075,0.00187,Low,0.00724,0.00672,0.00052,LOW RESPONSE,828.87,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00076,0.00391,Low,0.0097,0.00583,0.00387,LOW RESPONSE,1650.49,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00077,0.01975,Low,0.0052,0.02256,-0.01736,NEGATIVE RESPONSE,988.02,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00078,0.00353,Low,0.00617,0.00469,0.00148,LOW RESPONSE,922.6,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00079,0.01154,Low,0.0051,0.00668,-0.00158,NEGATIVE RESPONSE,1335.23,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00080,0.09641,Low,0.00502,0.03158,-0.02656,NEGATIVE RESPONSE,1393.53,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00081,0.01563,Low,0.01603,0.00952,0.00651,LOW RESPONSE,825.8,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00082,0.40825,Medium,0.01099,0.08569,-0.0747,NEGATIVE RESPONSE,929.92,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00083,0.01792,Low,0.00453,0.03446,-0.02993,NEGATIVE RESPONSE,942.93,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00084,0.00736,Low,0.00553,0.00652,-0.00099,LOW RESPONSE,1091.17,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00085,0.01015,Low,0.01305,0.00644,0.00661,LOW RESPONSE,844.22,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00086,0.22135,Low,0.00588,0.06451,-0.05862,NEGATIVE RESPONSE,804.98,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00087,0.0061,Low,0.0057,0.00887,-0.00317,NEGATIVE RESPONSE,1338.85,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00088,0.00561,Low,0.00992,0.00594,0.00398,LOW RESPONSE,1012.45,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00089,0.00043,Low,0.00357,0.00523,-0.00166,NEGATIVE RESPONSE,1364.09,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00090,0.92582,Critical,0.00675,0.12903,-0.12227,NEGATIVE RESPONSE,575.86,Low Value,No Action,0.0,0.0,0.0,High churn risk but low estimated intervention response
C00091,0.01947,Low,0.00533,0.0071,-0.00177,NEGATIVE RESPONSE,1077.73,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00092,0.04468,Low,0.00583,0.03407,-0.02824,NEGATIVE RESPONSE,1439.66,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00093,0.93365,Critical,0.01577,0.12321,-0.10745,NEGATIVE RESPONSE,371.42,Low Value,No Action,0.0,0.0,0.0,High churn risk but low estimated intervention response
C00094,0.01982,Low,0.0099,0.06642,-0.05651,NEGATIVE RESPONSE,1119.44,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00095,0.22157,Low,0.01029,0.04226,-0.03198,NEGATIVE RESPONSE,836.68,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00096,0.02722,Low,0.00511,0.0319,-0.02679,NEGATIVE RESPONSE,1191.68,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00097,0.04059,Low,0.00522,0.02976,-0.02454,NEGATIVE RESPONSE,760.46,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00098,0.0017,Low,0.00697,0.00526,0.00171,LOW RESPONSE,1073.83,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00099,0.01459,Low,0.00661,0.00906,-0.00245,NEGATIVE RESPONSE,1021.33,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00100,0.00714,Low,0.00871,0.00866,5e-05,LOW RESPONSE,1010.75,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00101,0.02875,Low,0.00433,0.03405,-0.02972,NEGATIVE RESPONSE,886.31,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00102,0.00425,Low,0.0058,0.00743,-0.00163,NEGATIVE RESPONSE,893.45,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00103,0.12421,Low,0.0061,0.05517,-0.04907,NEGATIVE RESPONSE,1096.46,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00104,0.00746,Low,0.00894,0.00963,-0.00069,LOW RESPONSE,1123.53,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00105,0.00438,Low,0.0114,0.00761,0.00379,LOW RESPONSE,866.06,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00106,0.07329,Low,0.00874,0.03489,-0.02615,NEGATIVE RESPONSE,1054.41,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00107,0.17665,Low,0.00753,0.04521,-0.03769,NEGATIVE RESPONSE,696.36,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00108,0.0554,Low,0.00809,0.04049,-0.03241,NEGATIVE RESPONSE,772.05,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00109,0.00389,Low,0.00985,0.00615,0.0037,LOW RESPONSE,1452.97,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00110,0.00505,Low,0.00596,0.00585,0.00011,LOW RESPONSE,784.27,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00111,0.17914,Low,0.01127,0.04637,-0.0351,NEGATIVE RESPONSE,817.43,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00112,0.12574,Low,0.00691,0.04127,-0.03436,NEGATIVE RESPONSE,884.44,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00113,0.00672,Low,0.00544,0.00826,-0.00282,NEGATIVE RESPONSE,1127.31,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00114,0.04237,Low,0.00531,0.02959,-0.02429,NEGATIVE RESPONSE,1369.77,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00115,0.15553,Low,0.02696,0.0696,-0.04264,NEGATIVE RESPONSE,905.76,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00116,0.00599,Low,0.01209,0.00658,0.00551,LOW RESPONSE,1023.68,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00117,0.00447,Low,0.0052,0.00606,-0.00086,LOW RESPONSE,1029.17,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00118,0.01039,Low,0.00614,0.00689,-0.00075,LOW RESPONSE,1015.27,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00119,0.00476,Low,0.00571,0.00655,-0.00084,LOW RESPONSE,845.88,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00120,0.0027,Low,0.00725,0.00711,0.00015,LOW RESPONSE,968.13,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00121,0.00505,Low,0.00504,0.00634,-0.00131,NEGATIVE RESPONSE,1125.5,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00122,0.03155,Low,0.00403,0.02589,-0.02187,NEGATIVE RESPONSE,1419.4,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00123,0.00157,Low,0.00495,0.0053,-0.00034,LOW RESPONSE,1442.46,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00124,0.0598,Low,0.00593,0.0279,-0.02197,NEGATIVE RESPONSE,954.69,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00125,0.00311,Low,0.00776,0.00769,6e-05,LOW RESPONSE,933.69,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00126,0.0637,Low,0.00616,0.04263,-0.03647,NEGATIVE RESPONSE,932.23,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00127,0.02232,Low,0.01182,0.00784,0.00398,LOW RESPONSE,948.21,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00128,0.00412,Low,0.00691,0.00722,-0.00031,LOW RESPONSE,969.28,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00129,0.00122,Low,0.00514,0.00535,-0.00021,LOW RESPONSE,773.92,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00130,0.02206,Low,0.00502,0.02105,-0.01603,NEGATIVE RESPONSE,1325.67,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00131,0.01795,Low,0.00728,0.00787,-0.00059,LOW RESPONSE,1586.42,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00132,0.01333,Low,0.00553,0.02645,-0.02092,NEGATIVE RESPONSE,1270.27,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00133,0.01121,Low,0.00803,0.00833,-0.0003,LOW RESPONSE,1197.44,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00134,0.23999,Low,0.00623,0.0423,-0.03607,NEGATIVE RESPONSE,843.21,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00135,0.1997,Low,0.00875,0.05397,-0.04523,NEGATIVE RESPONSE,995.87,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00136,0.15489,Low,0.00899,0.03894,-0.02995,NEGATIVE RESPONSE,817.45,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00137,0.00308,Low,0.00672,0.00673,-2e-05,LOW RESPONSE,892.29,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00138,0.13855,Low,0.01307,0.06484,-0.05177,NEGATIVE RESPONSE,947.19,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00139,0.00171,Low,0.00961,0.00697,0.00264,LOW RESPONSE,894.14,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00140,0.08822,Low,0.0161,0.00854,0.00756,PERSUADABLE,867.9,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00141,0.1975,Low,0.01029,0.05789,-0.0476,NEGATIVE RESPONSE,984.18,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00142,0.27308,Low,0.00791,0.0431,-0.03519,NEGATIVE RESPONSE,1136.39,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00143,0.04667,Low,0.00548,0.04774,-0.04226,NEGATIVE RESPONSE,1072.91,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00144,0.00463,Low,0.00757,0.01001,-0.00244,NEGATIVE RESPONSE,1302.24,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00145,0.00415,Low,0.00713,0.00758,-0.00045,LOW RESPONSE,1123.37,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00146,0.01462,Low,0.00472,0.00816,-0.00344,NEGATIVE RESPONSE,855.59,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00147,0.0044,Low,0.0054,0.00537,3e-05,LOW RESPONSE,947.52,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00148,0.01158,Low,0.00839,0.00723,0.00117,LOW RESPONSE,760.86,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00149,0.00081,Low,0.00873,0.00921,-0.00048,LOW RESPONSE,1124.18,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00150,0.16738,Low,0.00567,0.06445,-0.05878,NEGATIVE RESPONSE,729.3,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00151,0.94463,Critical,0.01411,0.1349,-0.12079,NEGATIVE RESPONSE,388.51,Low Value,No Action,0.0,0.0,0.0,High churn risk but low estimated intervention response
C00152,0.02703,Low,0.00451,0.061,-0.05649,NEGATIVE RESPONSE,1209.73,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00153,0.08595,Low,0.0041,0.04098,-0.03688,NEGATIVE RESPONSE,865.24,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00154,0.00439,Low,0.00742,0.00891,-0.00149,NEGATIVE RESPONSE,1255.86,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00155,0.00949,Low,0.00998,0.03486,-0.02488,NEGATIVE RESPONSE,868.81,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00156,0.01573,Low,0.00832,0.03622,-0.0279,NEGATIVE RESPONSE,1736.24,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00157,0.00303,Low,0.00834,0.01191,-0.00357,NEGATIVE RESPONSE,936.61,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00158,0.03854,Low,0.01135,0.00827,0.00308,PERSUADABLE,763.87,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00159,0.02184,Low,0.01531,0.00866,0.00665,LOW RESPONSE,926.33,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00160,0.00284,Low,0.0061,0.00551,0.00058,LOW RESPONSE,1275.18,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C00161,0.00339,Low,0.0086,0.01029,-0.00169,NEGATIVE RESPONSE,807.8,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C00162,0.01029,Low,0.01423,0.00855,0.00569,LOW RESPONSE,1213.28,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
