priority_rank,customer_id,churn_probability,risk_level,uplift,persuadability_segment,customer_value_eur,recommended_offer,offer_cost,expected_value_saved,roi,selection_status
23,C01585,0.00789,Low,0.01926,LOW RESPONSE,1547.67,Priority Support,1350.0,2682.9,1.99,SELECTED
24,C08534,0.00282,Low,0.01533,LOW RESPONSE,1942.91,Priority Support,1350.0,2680.2,1.99,SELECTED
25,C03115,0.04548,Low,0.011,HIGHLY PERSUADABLE,1810.75,Loyalty Reward,900.0,1792.8,1.99,SELECTED
26,C03066,0.02799,Low,0.01293,LOW RESPONSE,1538.69,Loyalty Reward,900.0,1791.0,1.99,SELECTED
27,C11390,0.02064,Low,0.02037,HIGHLY PERSUADABLE,1947.48,Small Discount,1800.0,3570.3,1.98,SELECTED
28,C01389,0.00263,Low,0.01967,LOW RESPONSE,2016.26,Small Discount,1800.0,3569.4,1.98,SELECTED
29,C09492,0.02228,Low,0.01663,LOW RESPONSE,1193.59,Loyalty Reward,900.0,1786.5,1.98,SELECTED
30,C09297,0.01059,Low,0.0122,LOW RESPONSE,1621.58,Loyalty Reward,900.0,1780.2,1.98,SELECTED
31,C03265,0.00451,Low,0.02285,HIGHLY PERSUADABLE,1726.06,Small Discount,1800.0,3549.6,1.97,SELECTED
32,C11110,0.02834,Low,0.02472,HIGHLY PERSUADABLE,1592.13,Small Discount,1800.0,3542.4,1.97,SELECTED
33,C04668,0.00435,Low,0.00988,LOW RESPONSE,1993.22,Loyalty Reward,900.0,1772.1,1.97,SELECTED
34,C11722,0.01907,Low,0.01098,LOW RESPONSE,1792.05,Loyalty Reward,900.0,1771.2,1.97,SELECTED
35,C03393,0.0063,Low,0.01695,LOW RESPONSE,1737.66,Priority Support,1350.0,2650.5,1.96,SELECTED
36,C09255,0.00369,Low,0.01416,LOW RESPONSE,1387.67,Loyalty Reward,900.0,1768.5,1.96,SELECTED
37,C11366,0.03401,Low,0.01135,HIGHLY PERSUADABLE,1730.74,Loyalty Reward,900.0,1767.6,1.96,SELECTED
38,C09187,0.01426,Low,0.01109,LOW RESPONSE,1769.74,Loyalty Reward,900.0,1766.7,1.96,SELECTED
39,C11337,0.07206,Low,0.01156,HIGHLY PERSUADABLE,1695.76,Loyalty Reward,900.0,1764.0,1.96,SELECTED
40,C02485,0.03586,Low,0.01456,HIGHLY PERSUADABLE,1345.55,Loyalty Reward,900.0,1763.1,1.96,SELECTED
41,C11288,0.03349,Low,0.03056,HIGHLY PERSUADABLE,1913.31,Free Premium Trial,2700.0,5262.3,1.95,SELECTED
42,C03096,0.00085,Low,0.017,LOW RESPONSE,1721.36,Priority Support,1350.0,2633.4,1.95,SELECTED
43,C00580,0.02425,Low,0.01915,LOW RESPONSE,1525.45,Priority Support,1350.0,2628.9,1.95,SELECTED
44,C10889,0.01536,Low,0.01059,LOW RESPONSE,1844.44,Loyalty Reward,900.0,1757.7,1.95,SELECTED
45,C11343,0.02177,Low,0.01048,LOW RESPONSE,1861.22,Loyalty Reward,900.0,1755.9,1.95,SELECTED
46,C05525,0.00634,Low,0.01043,LOW RESPONSE,1867.35,Loyalty Reward,900.0,1753.2,1.95,SELECTED
47,C10225,0.00491,Low,0.01135,LOW RESPONSE,1714.61,Loyalty Reward,900.0,1751.4,1.95,SELECTED
48,C11257,0.00659,Low,0.0297,HIGHLY PERSUADABLE,1955.65,Free Premium Trial,2700.0,5227.2,1.94,SELECTED
49,C11616,0.05669,Low,0.01462,HIGHLY PERSUADABLE,1995.49,Priority Support,1350.0,2625.3,1.94,SELECTED
50,C02819,0.03295,Low,0.01492,LOW RESPONSE,1946.38,Priority Support,1350.0,2613.6,1.94,SELECTED
51,C11175,0.04308,Low,0.01234,HIGHLY PERSUADABLE,1572.72,Loyalty Reward,900.0,1746.9,1.94,SELECTED
52,C11492,0.0156,Low,0.00991,LOW RESPONSE,1959.04,Loyalty Reward,900.0,1746.9,1.94,SELECTED
53,C11687,0.05663,Low,0.01509,HIGHLY PERSUADABLE,1918.6,Priority Support,1350.0,2605.5,1.93,SELECTED
54,C09915,0.00456,Low,0.01137,LOW RESPONSE,1698.96,Loyalty Reward,900.0,1738.8,1.93,SELECTED
55,C10685,0.01002,Low,0.01156,LOW RESPONSE,1671.45,Loyalty Reward,900.0,1738.8,1.93,SELECTED
56,C02866,0.01436,Low,0.01229,LOW RESPONSE,1571.56,Loyalty Reward,900.0,1737.9,1.93,SELECTED
57,C03197,0.07363,Low,0.01063,HIGHLY PERSUADABLE,1816.95,Loyalty Reward,900.0,1737.9,1.93,SELECTED
58,C03230,0.03467,Low,0.01088,HIGHLY PERSUADABLE,1774.66,Loyalty Reward,900.0,1737.9,1.93,SELECTED
59,C11218,0.05871,Low,0.011,HIGHLY PERSUADABLE,1751.61,Loyalty Reward,900.0,1734.3,1.93,SELECTED
60,C05952,0.00184,Low,0.0116,HIGHLY PERSUADABLE,1657.44,Loyalty Reward,900.0,1730.7,1.92,SELECTED
